,순위,이름,가격,링크
0,1,Apple 아이폰 13 256GB [자급제],"1,149,930원",https://cr.shopping.naver.com/adcr.nhn?x=ALiOspQtEMp77piNERUd6f%2F%2F%2Fw%3D%3DsfeKziOdgwdxUcMq7Fjw9bw1jA3w6Gfi0ALjFClBNF71N4NgkrPIjlczCBjhk2dSMZzpTyMbYdrbrB7koqCG5FX09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKBJI0dviJF7aVxSP3I1r8G5bkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu7lB2PW1NjAImsz70Vy8QW06JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkd42zEVOHkRt1m9hvixzMvciNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1sbbTrOhMmQpEkp4UEtzKmSE4FQdvRmo7oxOSvwywmch%2BPn%2F0%2FsFFiwjT7S5BsR0E%2BRg4eK2XUFKROWQVuZgoHoRpOFzCbaM6OU97uoPifjrCkYz%2BXp9bIKU%2BtWSUh3jCaG4TPrP4B0lDHB%2F0QSh8GLNjqh%2FZemCCOboDhnweAmG&nvMid=29029192591&catId=50001519
1,2,Apple 아이폰 13 미니 128GB [자급제],"902,300원",https://cr.shopping.naver.com/adcr.nhn?x=GVNCGIZRf6gVab2oSJ2gOv%2F%2F%2Fw%3D%3DsO5yYkZoXADD1kAVMfLM%2FP9eRER6N3X5wiRptIyGSyb2GgjNtjvRyY8TaEm3AQ5Uw2RtWGKelByXv7YZqnF4ZsIHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL6vmS6IPw0N8PQDlZk4TeMmNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSenDUepOkit2bOK88CrOt1%2BZqLzcRVswO%2FNXTrA15l4GNbF4OZVL2Q%2FcwuxYvViSThzGbkeYhnXlLdW%2BW%2BH9FFgycPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJUfTmu80PPs%2FMBPhnIzy5qt1I8EDCh5n2RBrPUf%2BYM4BX8a%2FHvPOPEuDd1Ce%2FzZYNcwdHQz8Aha432j8o517aw5MZtVRF4i8rrGPu3W3OVixpuWmPUn4omDthcd%2BJi5EGqpHc4QZv48mvdmx%2FzRtnWtXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=29030650586&catId=50001519
2,3,Apple 아이폰 13 프로 256GB [자급제],"1,384,930원",https://cr.shopping.naver.com/adcr.nhn?x=VDqodNDcAZawVA9TRjLjM%2F%2F%2F%2Fw%3D%3DsR3Wa38apZYe66PxYiH7KYDm1RE9z2b4yORVj9izZoH6GgjNtjvRyY8TaEm3AQ5UwEW0Dd732omGlCN8emcCM2YHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL137zj6xS8KLGHM26HEneD2NmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSesMIwpZutwZBZUq6YOU0LGpqLzcRVswO%2FNXTrA15l4GNbF4OZVL2Q%2FcwuxYvViSTh0E9aMCpk%2FCUyAqM9nV%2BMhucPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJXTg%2FsEJVpHzqP6kybO7iXl1I8EDCh5n2RBrPUf%2BYM4BX8a%2FHvPOPEuDd1Ce%2FzZYNfQjfdVLKsO%2Bcp43QfUiJ1n5Y2o%2F4J1jfD0lSXsJe4NzyD9SHVzxR71Wjlvmga%2FOr1L9ePEIWuthDuFwqblLrCRWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030492586&catId=50001519
3,4,Apple 아이폰 13 128GB [자급제],"1,008,720원",https://cr.shopping.naver.com/adcr.nhn?x=4Dm5%2FXfpUoUSADtuzTMXz%2F%2F%2F%2Fw%3D%3DsEoXYzTqeTomZsZqQ0trQ8pDz1snn0JBRso%2FhkSrC2feGgjNtjvRyY8TaEm3AQ5UwRuwB%2F31VWFPnxqAq5zSdR4HcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL5rmSYJSQ7Q%2FSdegndTkuDGNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSerjyln9bg8nRUPHIh5oAqgFqLzcRVswO%2FNXTrA15l4GNbF4OZVL2Q%2FcwuxYvViSTh90ZSBhE17JBT25ZWZRY%2FKGcPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJdAg7C6WNSwBfl6I6g1ROlIlDv77rgQoH8LCOsgmhGGjhejKyKKQJPosYkFFU2iKXp8tlI8u6uCNrHqqMYUyZCINauEcRynSn%2F8orOK7nc90Ueey0OQOUZICLMVdmchgcVB53eO35NPYnjXZlHnW%2BlSFbDf4gHI5rSMJU1BWcIOg&nvMid=29030374587&catId=50001519
4,5,Apple 아이폰 13 프로 128GB [자급제],"1,255,000원",https://cr.shopping.naver.com/adcr.nhn?x=37VlK0ohiCw7AvuVE9869P%2F%2F%2Fw%3D%3DsasW%2FdLlgGSV4i48Y6Q%2Fk1eAQ6WnfAQQ%2BNMUeeUsBlAxN4NgkrPIjlczCBjhk2dSMPR3MR1tsO8GULVpwBfRODn09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkK2geXZy3Q9F6n45539rDBRZbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu0A4%2B5T2zLqfK1%2FwnFkRHN86JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkfr86rd8M1jdgUjH1e%2FsDI8iNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1ik8f%2FiWvMO27Psyw5wH0mki5HSrzhhCOMWuXdZxvGXvk9L6rt0SOVsUsc5EylGdlf2kq20GE5XnyctaBdz6cyGhYZ%2FhI%2FkN84je6k%2F%2BbfyXwLzthabm4MU%2BeiRklgYjyo31wjj7%2F9MMLL8OXl9w7JLHICEQpPL7Rm%2B2fyhjEhHR&nvMid=29030420587&catId=50001519
5,6,Apple 아이폰 13 프로 맥스 256GB [자급제],"1,532,940원",https://cr.shopping.naver.com/adcr.nhn?x=63AUr2qDCawL6fsF4pjE7f%2F%2F%2Fw%3D%3DsmWdBR2olTorfxPWc%2F4amur5zg1yAzfGY%2FOwCYMZNbu%2FrlQPyQuHoHFsppYbPEdHaIDsgj36pgNEiQpzu6pYIadnHAHVCHqFUza2fSUz7t9JIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQd21xfd7DUFPIJY7CJPJjZCJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FeCAmiJO%2Fp85OBKlqcA7gyUhIW%2Fufm4Ai1g%2Bbn5o8FWgvX82Y5Ils9cLeBDu1LyZBypx6ZcRQfXgzncMMBEUgSygIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFewstxKXYfuaTY89uFKbdXCB8yCKT6GPhhsVeKu8TBI1nmWXdAuntmcqbOFOk%2BQxKwb3EHiGgBiCEEZyXK87%2B6sUr9wbbT8fu7mNjCdQBkNrvramjBwCZI9AwCV4mCTWQmb2V5%2B7Y2IPe41Oy%2FG7sZm66K%2BQN1Y7%2BrWjD9rPXFllFy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=29030294588&catId=50001519
6,7,Apple 아이폰 13 미니 256GB [자급제],"1,009,770원",https://cr.shopping.naver.com/adcr.nhn?x=vuy2MrHam18UMWJJOPu%2ByP%2F%2F%2Fw%3D%3DsMdRM7tczhoOmmcgVy9ZhK8Vf51U2qX53l%2F%2Bq644Q%2Fn2GgjNtjvRyY8TaEm3AQ5UwW5blkWtrklhj1reUzLr%2BxoHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLdmjiUNRuai273zzzcAG2XmNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeiV7Tf8IYC2bDVWfjSy1bwxqLzcRVswO%2FNXTrA15l4GNbF4OZVL2Q%2FcwuxYvViSTh3ghBdD6NT46gqzIKGQccHmcPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJby0W5mjv%2Fw8F%2Fs1QNhsn6h1I8EDCh5n2RBrPUf%2BYM4BX8a%2FHvPOPEuDd1Ce%2FzZYNXsaSYZTVXdV3hnyZglHsZri0RHhj6QXo8fBoVOwgE4%2BFQwuyGCI%2Bg3dUVY%2FXoQXMUcyi618WvzPGwbsEGBXmTlWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030437590&catId=50001519
7,8,Apple 아이폰 13 프로 맥스 128GB [자급제],"1,445,230원",https://cr.shopping.naver.com/adcr.nhn?x=zQtM9wjNSBkFH5Xkr5avYf%2F%2F%2Fw%3D%3DsgjH3kSiL7CTeh%2BmPX%2BfJ0JvPbNDKQy49GVsjLByuHDpN4NgkrPIjlczCBjhk2dSMb6k3kQFFKMviFuJcRo1ya309buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKCjNzjsdpE73XW2e7c9P%2FXJbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu827Oy3H0LyoG%2BjBDO5Af5o6JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkSjiK%2BhigMzM6vFxlpUNisAiNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1mbbRE4sNae2UQATiGzSdWpxsF7LFolFgeQFlnrP8JWR8jR8gVF8FlQ9pItE8Zzc8o5OpPILnUhe%2F2tk6F8O8wovQ1xNswkb7m3dkKyrLVEOjr%2Fvhuz%2FM2bOeEg7k3nONY3UwoGHDs6FIh3JFlg16cD0UbNk5di1V8jUMbmtHii%2FBq7h9PA5SrIXrcWPClBGWw%3D%3D&nvMid=29030367587&catId=50001519
8,9,Apple 아이폰 13 프로 맥스 512GB [자급제],"1,781,250원",https://cr.shopping.naver.com/adcr.nhn?x=vObm28DyV8Nd7qodD7mH7%2F%2F%2F%2Fw%3D%3DsZqUTNKY0enitwKwLXWNMEEm1kV9eo5X6zTn%2FFGstfrJN4NgkrPIjlczCBjhk2dSMEGItUnD03JuwyICPwbAvZn09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKwzZoEE1irv0jVFjUiTpIZJbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu1xt4dDzo2x9cntn%2BA6qiyg6JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkcumofbXYj946r2GYPS3uK4iNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1ooxK4oNyEnYnImnO7rEtZEWD%2BrNa4qE%2Bx%2FvqVwvK7Ta8jR8gVF8FlQ9pItE8Zzc8kDcOTltB%2BSxWBB9IUfXZmrKm8gjsXeL8C9leLShBmxyjr%2Fvhuz%2FM2bOeEg7k3nONUY3H6h51x8s0f1aC0NvrzRjtEEnHZo%2B%2FVuCJHvsmHjrDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=29029192586&catId=50001519
9,10,Apple 아이폰 13 미니 512GB [자급제],"1,259,000원",https://cr.shopping.naver.com/adcr.nhn?x=g7yKDzsSnmQ2%2FP9bdncdrP%2F%2F%2Fw%3D%3Dsg1puiPqsuAgJNpugcDSo2o9AYxT%2BQNYzyCdmVs5LMITki%2BKi8JKVq%2BgPpCyk2Hugw5kQv%2FaTwgGuzS2aJLRsVqc%2F1cBWQMD52VKA2sGf%2FJ%2FftmMQC%2FnBq2YK4Map0biZFMrTQC0sUFLt7%2Bu%2FTbc%2FFLngnxQ7ssMZd09T0OjyjIyEQne6246UF7e42c1JQLFz6Q0rUuGUGIUlJAahHi5Y6TX9%2BvO8%2BmWiKajsR%2BGu%2Fileb9B8VSwckvD88%2Bj6QFWRXiUeIaE1G5xH2Ex98AtqzUgAn8lD2%2BxrgblrBqYwPdWKx7G3krbJiQXzryuwwOqJ46ESuCUOxV7vOs%2FRdXHLft9CgVURQUSvVsia%2BQYudNbYe9CsbWrnsboog%2B94RL%2FIQCJs%2BBVHRh5KDWui1lVD8IRe7uHgyNF3WXsM9BHB6lpFx37WIyrziE4Ps6WrDu%2FEC%2BPCK4hWZVak%2FmlGHuf2bNYrmhd6z3mr51lBlAzJFvLL%2FnGINkSYp%2Bd2xAAY7UDnbkvF4WlDWhQobJdwWHNTv6wOxxShxp5q8EMKOp%2FrQHJicchwRNwmJ84TyxvjggzFH4ou3Oturo8Z3L6CAxDYm3zqJfkmL5x%2BfgSLmbgawWcOEsHC78VBLnFZh%2FnDobeN&nvMid=29030296587&catId=50001519
10,11,Apple 아이폰 13 프로 512GB [자급제],"1,609,900원",https://cr.shopping.naver.com/adcr.nhn?x=uYSsOLhpDkOljFq4KikGDf%2F%2F%2Fw%3D%3Ds9AtnztLaFAsfyn18qEztzUW3S7R2g%2BEFzqGISl1pKkSGgjNtjvRyY8TaEm3AQ5UwgJudnaU%2F9com5CZ7LOB79YHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLiYCoXVZpYWHK%2BSJmDHKCzmNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSev59SBJcLBjw4IWo1q4927hqLzcRVswO%2FNXTrA15l4GNbF4OZVL2Q%2FcwuxYvViSTh%2BUV4Lx8PdPqo0f%2FEWwZ9x6cPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJeB1cSmYxtfRhC%2F4HS0b6yJ1I8EDCh5n2RBrPUf%2BYM4BX8a%2FHvPOPEuDd1Ce%2FzZYNU3VOzC40adZMbXUFpeo%2BvGSBR5M2shKxwUtOCfRtaTgMCx0oZ8VPc5NxzlDo0F4fZ75LVKgseTcMd%2BYoEIjF8BWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030416587&catId=50001519
11,12,Apple 아이폰 13 프로 맥스 1TB [자급제],"2,033,950원",https://cr.shopping.naver.com/adcr.nhn?x=6SyLS3davIaCl1vvYIhQ6P%2F%2F%2Fw%3D%3DsyDu0TWFySBZ9X6UhO0Vz1AuX6oWQiFTlb7IMI3kmq0RN4NgkrPIjlczCBjhk2dSMWhLUMh4s0M9QVVV5NESwh309buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKaTi1gS9Bk8v8CfyRr5Y7JZbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADuxiwDQU54yV5JFvZBnuQUG06JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkeka0Jkw1HaXkrcvTwRjPIciNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1pX9tJKCP7b5KKDylXiHlhEN%2FOXq06xFLlMCwNDQObjPLcqEhOiscytOptfh0D9%2BAhMvoWJm4MsF06%2BKgL3Nir7VgVqyOfulWEMdU0sGfCPCv4YGjJCSIW1IvBxXT1wG9z2N8nXOTsEqlrlbDmLkyjdjtEEnHZo%2B%2FVuCJHvsmHjrDVCYCaeglF2rgr1u2OQIzQ%3D%3D&nvMid=29029192590&catId=50001519
12,13,Apple 아이폰 13 미니 128GB [LG U+],"85,990원",https://cr.shopping.naver.com/adcr.nhn?x=HqSpQuY4GQ7AvX97%2BhKOov%2F%2F%2Fw%3D%3DsJTwePX3%2Be3%2F7f5DMGEDixgbM58ZqRJSzeD3hTFhjLhxN4NgkrPIjlczCBjhk2dSMJOL0QKzyvi3SVfDOwZMMnH09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKisqvSGbN8uI5tCa8RDIL0JbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu15n8v6oNjduFxM6sBFMCKs6JIeyjRJJG8AQSjlBThBK%2Fkpsg5AguUQPduruz0ll4S4K84suS6N23CTXtCISUyMiNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1hwOndwKexWj5cBEbwvYNscOTnITeXUIiGAT3tHOc0GbTKo5CnlLrO%2BPacbML5XxERyfQn9VoGDSREt2avhebqZicchwRNwmJ84TyxvjggzFJSigDcU5y%2Fy9oM3ZrYPALlkAByilQyBE0BBCsyz0Vx8OEsHC78VBLnFZh%2FnDobeN&nvMid=29030431586&catId=50000248
