,순위,이름,가격,링크
13,14,Apple 아이폰 13 프로 256GB [LG U+],"831,690원",https://cr.shopping.naver.com/adcr.nhn?x=TsXN6Njmxw0ZJfzgavUlm%2F%2F%2F%2Fw%3D%3Ds88ywUrodpXrMawgMzUP5Ot0XqIuRjYHucEOMUdsO7xqGgjNtjvRyY8TaEm3AQ5UwOguBbSsyLC%2FiWYqTFkgHioHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL%2FchmJsHbf2PpzOdNGLpJCWNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSes0etF%2BT1xbEKmxRUO40Rh9qLzcRVswO%2FNXTrA15l4GNYd6P7bKnf6IN9iERvhRLC8G68m6sa%2BveW%2BZsaubJ0KOcPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJXTg%2FsEJVpHzqP6kybO7iXkHyKwMIinsXLRIwPAEQA4X2UjohpK7sZyY83SOIj%2FwoEF%2BXRe8RkQq7zSHG%2BQ6NhJPwCXFJiRdosf3os3K%2FWn1DBkLICCXAtGOz5qo4R67jT7BSzpN7egB%2BcA1z%2FrDAW3Njqh%2FZemCCOboDhnweAmG&nvMid=29030415586&catId=50000248
14,15,Apple 아이폰 13 512GB [자급제],"1,328,900원",https://cr.shopping.naver.com/adcr.nhn?x=UtmqlHyOVT0Vu1PuRBIGxv%2F%2F%2Fw%3D%3DsA62%2FdTv3ADUxjce2pl4lltsY785PqM0CI76GfEeWQ8tN4NgkrPIjlczCBjhk2dSM6wICI59CQx%2BF0WZVu%2F788n09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKd9m%2BLxP%2FPGMcWnBQjed9gpbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu6BQkguMO4iDeNfvQicX%2Bec6JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkfwoLUR5VhRAPjINR4zOtXoiNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1lZ%2FIaG84qELmyiDCU5aC6qE4FQdvRmo7oxOSvwywmchwab2ymTI6osxemUeeS5O8wt76yR%2FhiRBsGXu1w4wYUgRpOFzCbaM6OU97uoPifjrGlhZylcQfu7PNAxK7CwrTuGIgSogFqYsELQhKRxT1zeCqA6%2BrrPkSkQjk3bFq%2FUy&nvMid=29030496586&catId=50001519
15,16,Apple 아이폰 13 미니 256GB [LG U+],"194,000원",https://cr.shopping.naver.com/adcr.nhn?x=ICUgwalIgiZ7RZQ6sYiHBP%2F%2F%2Fw%3D%3DswXQrXqTJVrbRE6hQkSRPII3mH0KOD4jhJMiKarmtxBSGgjNtjvRyY8TaEm3AQ5Uwi53rKdsNemfMkXM1CTpE5YHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLeYmWQ3q7Vfmvwq%2BPpoL3AGNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeu1bGDKyu%2F7prRH9Mnp7rStqLzcRVswO%2FNXTrA15l4GNYd6P7bKnf6IN9iERvhRLC0uHSHAUMGdOPByTMK9PX8WcPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJby0W5mjv%2Fw8F%2Fs1QNhsn6gHyKwMIinsXLRIwPAEQA4X2UjohpK7sZyY83SOIj%2FwoLyz2cbiyHDvDzfTapvFUDNPwCXFJiRdosf3os3K%2FWn11qe7IRkJIzbxs4avDRxf7GXYW7NE%2By5d6iyKR8Qo9hPNjqh%2FZemCCOboDhnweAmG&nvMid=29030376589&catId=50000248
16,17,Apple 아이폰 13 프로 1TB [자급제],"1,902,850원",https://cr.shopping.naver.com/adcr.nhn?x=p4Qi87PWTQXMewDRL4KtEv%2F%2F%2Fw%3D%3DsLLK07jJ3p8toBdFGBGr2AD1QMnT5r38MZlMUBwYG7opN4NgkrPIjlczCBjhk2dSM8popa4jagiYbY%2Fu5Bi0wXH09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKCqMGcFvs80%2Bm9t1aozn63JbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADuyJROWahhifNTn75bhXfJfY6JIeyjRJJG8AQSjlBThBKRuaDR2LrEXFDwvTptY5wkVujK8JsjkX5vbThvszTSdkiNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1tWAoDzpqjivMYNewfUaVH5D%2FkFMO4s7sTx4sbc7XXXQvaOjGxMtdSZf0nL3LrxHbJVKc2TB9WPgu5DivDTxnxhPwCXFJiRdosf3os3K%2FWn1xDzlansmHapOvB1YrwpF9dW%2FUjgHV6IEzQ1nOA4fXqNoaKZHilHbuauHUigNM5KA&nvMid=29029192588&catId=50001519
17,18,Apple 아이폰 13 프로 128GB [LG U+],"632,990원",https://cr.shopping.naver.com/adcr.nhn?x=G5SuOG0wwJkowL1UB%2F2aA%2F%2F%2F%2Fw%3D%3Ds6Nvh%2FuJvoZBieFBl3bs7ZLH6wNvK8xjiE%2BQHjO%2Bidj%2BGgjNtjvRyY8TaEm3AQ5Uw%2FB%2Bq3M0v0E4QWwOzkwjmDIHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajL%2FHNuqNLq1In6IsDDJHfZwGNmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSeu0nLB0P9lBTRjncXMUqZx1qLzcRVswO%2FNXTrA15l4GNYd6P7bKnf6IN9iERvhRLCxdWgXBLtZ4vptqts7yqaGucPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJRZQL3TdB6ucCZA%2FS9JD78IHyKwMIinsXLRIwPAEQA4X2UjohpK7sZyY83SOIj%2FwoOSxs%2BZ3p5AU%2FICJaorG8mRPwCXFJiRdosf3os3K%2FWn1uRqfIuy83d6TxolrRKBCL4eROlkf2%2BO%2FKNqBmktRt57Njqh%2FZemCCOboDhnweAmG&nvMid=29030175590&catId=50000248
18,19,Apple 아이폰 13 미니 512GB [LG U+],"417,790원",https://cr.shopping.naver.com/adcr.nhn?x=pYeUPzudnATumoxSzd5FKv%2F%2F%2Fw%3D%3DsVE1%2BSCItzEeA3YpTIkFc5yELKTDJpb4Fmb2MU1ihGDyGgjNtjvRyY8TaEm3AQ5UwSYh3DriDXkA17KfloxWpQIHcJpCtXkCwL8WTXy5Wb2a99TfCRh%2Bm%2BispSy7pdOq72osNQb%2FC%2BqqSphXr0C1l2N9%2BKy%2Fm0d%2BgYWHtEf61Jo5CNclKwvLyA%2Fys%2F%2FHPPajLdYhB9y4xrNslRGxEX7B2N2NmcbgLr0lu2cCLGgyX7c9vsepmwRk8o%2FCB4DgHhnjVzCLgL8%2Bz90W8pE9SRBBMdlg7gCbqmWxpcdI7rnSPXIU%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSesps2sSqkgTa4pZZ73eToJdqLzcRVswO%2FNXTrA15l4GNYd6P7bKnf6IN9iERvhRLCzMsiK393tMC8jySrC%2B7Vy2cPfwzF9ktWcxdrcTtO8KUh7eRXhvx%2B18MP%2FzLgC0qJWnW31FRNxjRoXXkSj5PkWsHyKwMIinsXLRIwPAEQA4X2UjohpK7sZyY83SOIj%2FwoBOJjNQUUYZJfQD1YAAbdABPwCXFJiRdosf3os3K%2FWn13MXchoqE%2Bc%2B2SXqK7OZon%2BvgqbLt%2Frl4Q%2FjawrX9hGHNjqh%2FZemCCOboDhnweAmG&nvMid=29030419586&catId=50000248
19,20,Apple 아이폰 13 프로 맥스 256GB [LG U+],"959,590원",https://cr.shopping.naver.com/adcr.nhn?x=KoWM8PzJCnwh1Bukd6srQf%2F%2F%2Fw%3D%3DshE7b%2FpsIXsRMJPbvd5qpkmZpOnLDo2NeO1%2FuWSUUTUPrlQPyQuHoHFsppYbPEdHaA%2BFZNc4V8G9ctBLqPrUr%2Fj02i0psU7vwuISa3NogaidIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQ7wSV%2BTNvRpjPuhplTV7V0SJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FdzdgFyYbWo%2FkqTb7v%2BOSp4hIW%2Fufm4Ai1g%2Bbn5o8FWg5HUJqI12Vlp80UoFc6QYeHCdPJLPvy%2BTeLKBd1e%2Ft4qgIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFewstxKXYfuaTY89uFKbdXCAl7TVmKFTPOLfoqYuTrHyZhOBUHb0ZqO6MTkr8MsJnIZ235nX1k0q%2FrLcj75AQVq2w4o99q45RWdjzHA%2B14IEBEs8cFUTVf2EXpmSuc9bAhKe7xDLL3jMaU4yV6oFtern9SwTHwQeqmOFc125xCkr9HRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=29030190586&catId=50000248
20,21,Apple 아이폰 13 128GB [LG U+],"424,690원",https://cr.shopping.naver.com/adcr.nhn?x=ybCqqfliFwVe2Crh8FoFAv%2F%2F%2Fw%3D%3DsTRXVAqRDUu8pR1j7unrM8pQk3EJrlHFDQW5hKxcFLFbrlQPyQuHoHFsppYbPEdHa5cgdGTGi5T774pEyBeysDNnHAHVCHqFUza2fSUz7t9JIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQJT%2FLdyNAzMa%2BbHDFlFqnOiJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2Ff7uRk5XqgvZpmNZ2wME%2B%2FQhIW%2Fufm4Ai1g%2Bbn5o8FWg5HUJqI12Vlp80UoFc6QYeNQqTo7S3YadJzlDs44dNdCgIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFe07hmrx%2BVAbS%2FSdadVwoJvWaU9qNqKx0Qc11MwuBOlFmrao8qS4hfxVZCl5WtKd9Z5rX8miyFjVr2J72ilZziy1icchwRNwmJ84TyxvjggzFVzF9AJFCDMf4%2Fwpn%2FzcVmXSG903eDiRugXkLLIswGA0OEsHC78VBLnFZh%2FnDobeN&nvMid=29030372586&catId=50000248
21,22,Apple 아이폰 13 프로 맥스 128GB [LG U+],"818,090원",https://cr.shopping.naver.com/adcr.nhn?x=2zmrf3ye44wbm%2BBQkbpk8f%2F%2F%2Fw%3D%3DsSevjoRcwfufanXX3hVVgoA1qmYSnMO2uQPH9%2Bx9L11NN4NgkrPIjlczCBjhk2dSM4QbuwViwT5WmGSi%2FuCU6hH09buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKOk8u93tF6OAhEv8QijrI6ZbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu305e5dFIzybrdlNGWZD%2BG46JIeyjRJJG8AQSjlBThBK%2Fkpsg5AguUQPduruz0ll4WUpLKxX6NIrMbDYkah2%2BB4iNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1mbbRE4sNae2UQATiGzSdWo%2BYS%2F%2BLHYOR26DZYLoloGYQbJE2qH6sAOiEA%2FCWTmW%2B9Wv9LNSmXjE9enjfCW3QMdq4m%2BBkOcsuUaM4uWVBY4cJwUiS%2BH%2FKvyoIlO3ylisDraGupneaCEyGcrrv1xJwjZWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030352586&catId=50000248
22,23,Apple 아이폰 13 프로 512GB [LG U+],"1,097,390원",https://cr.shopping.naver.com/adcr.nhn?x=vfHuC4hWjZSP6gTzHJxZTf%2F%2F%2Fw%3D%3Dsb4%2BamJzne%2F6r4xFoLE%2Bc0epNCh2OxbJurxYoa3kgXHzrlQPyQuHoHFsppYbPEdHa5wi13KMRNieyxMJ%2F2%2B%2FGKD02i0psU7vwuISa3NogaidIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQSPWiJ7SXrJmKgRhytiKLlyJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FaRo4UjXs%2B72iRxZNOkgkIshIW%2Fufm4Ai1g%2Bbn5o8FWg5HUJqI12Vlp80UoFc6QYeK8W7ac4MQ777vBveMTe%2BcqgIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFe9zC5Ok%2BGRIgi5WcssAqmuYEiaNfJtI8%2BWxAc1EGc8qsV5wvSck0MfgYLl2aZJDmmi0H4EnrBketNswoSG1CUqyBJEFTMuYQWQtxOL6oBcma0ySvEtvTZUsP%2B9zg2kp08nxJm6OWDnF9pHiLFnpor6xWhZ3SMHTcLlpircdRzUgq1JIslBmdxaTx7xO1%2BPPoWw%3D%3D&nvMid=29030295586&catId=50000248
23,24,Apple 아이폰 13 256GB [LG U+],"543,890원",https://cr.shopping.naver.com/adcr.nhn?x=4fPJhf3ZzNLbCmYonkd1tf%2F%2F%2Fw%3D%3DsxhX14TjzkUQZ7fRhvuhpcU7u%2FyvnkSqknLcfFQnqEUfrlQPyQuHoHFsppYbPEdHaXO5AyzJag%2Ftoijdum%2BLTbnLLuwGbxvSShEF%2BeQNoJPtIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQAMSjwVcmY%2FAAtFSXsxq78CJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FRRVamtIhvJ5kwZKgCo50BchIW%2Fufm4Ai1g%2Bbn5o8FWg5HUJqI12Vlp80UoFc6QYeJeMujc3iS5yJ3vJxth0rUqgIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFe2Ek745LuQxZpUTiBCxw9wqaU9qNqKx0Qc11MwuBOlFmGOrT%2Fp1vUjNFLW%2B3Uk0qi2QBviYLgir9CYMfnqYqbn5icchwRNwmJ84TyxvjggzF5bEzkA1tvZf0ivkeeujrAjxwYK5eJhUbO9tgjyFJJPIOEsHC78VBLnFZh%2FnDobeN&nvMid=29030189588&catId=50000248
24,25,Apple 아이폰 13 512GB [LG U+],"838,990원",https://cr.shopping.naver.com/adcr.nhn?x=FI%2F9HDuTlDItoHdP8Ilq0P%2F%2F%2Fw%3D%3DsQXaZ7Lxoqnflf4PQdAyjZawKWEW8rqIbdsbJnqckj8LrlQPyQuHoHFsppYbPEdHa5O5A8GltlWTkTxCXVJJBW6gwxcmP9JAreEXHRj3W%2FqJIWqaG65E%2B%2FnYHhUeNrRNqWL9LdJGpvn0YwfTRYq0Vp4ZnlrSZr8PDPdBCvs8uWtdeJxHcKH4rYUhc5SxvGs%2FQeC%2FCX7h%2F3kFml6V6wbycsCJO7jbxAC%2FhHJnJbE9pD225SET%2FmTh%2Bwr3iKnDGr9FRgw15qj6RIotcQ%2FS1VkhDBYJR6gV00gYoZaXd6deWodOAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FZvWvEUGuZPiFLFG04o7AaghIW%2Fufm4Ai1g%2Bbn5o8FWg5HUJqI12Vlp80UoFc6QYeOkNyZCcbPQt8tppHbI3EeWgIX25kXOk%2FUPdTKqFSCOqDgcKWP7TrEwfWP0fV1BFex1TjIhUTeCndeTU5sxAXtSaU9qNqKx0Qc11MwuBOlFm2qRqqkmRjzDmmzADhw5%2BZ4XaskkvHNRxazcUtQgQp%2BFicchwRNwmJ84TyxvjggzFZvS9cxpjmB5WbbPHWSPpPrZUsSxxTBSDuiR2GyX68UoOEsHC78VBLnFZh%2FnDobeN&nvMid=29030296586&catId=50000248
25,26,Apple 아이폰 13 프로 맥스 512GB [LG U+],"1,305,190원",https://cr.shopping.naver.com/adcr.nhn?x=BXdH6GtMk8A63uEPMRj3hv%2F%2F%2Fw%3D%3DsxFmV0k%2Fou1A6kHTxWooY%2F5T2vjBOGz6BsLzKLISZlVlN4NgkrPIjlczCBjhk2dSMpRpqai8OAKJHYrrb5u4wG309buT0N7s5bUIsty5yh4NDg7Eb2AEFXEt3BDWc7fqth4r8rhbORPICZffqj%2FAKVcv%2BjB2erv%2BZ%2Brrs5VHOiTQgGE7%2BZatKjf5hEf1XctkKkudjYGzwd3tis7HEL5VwoZbkCnZt3PKDnGtnPfTpWXV9gLRMuJH34gK%2BdKxxm2wLT2orIRCkILVzs7MW8qwakVYRd5fBJq5s%2B7SpRrFB889r6kdrp7BvT8OlwZ7P37YyZp%2FuhVWf5tMOyu5R2EADu2oEdtqqkBR8ppqziPOGHJ06JIeyjRJJG8AQSjlBThBK%2Fkpsg5AguUQPduruz0ll4TgknlscqZJPz9WRAY4nLvQiNvEAyH7XT6ObGe95mRdUsw%2FEBFoDxdMAZ4HSpGP%2F1ooxK4oNyEnYnImnO7rEtZHg9HL5PY042frnJDEEQETmQbJE2qH6sAOiEA%2FCWTmW%2B5KpQpvAJ6%2FRlQlFr4HhyvAEd6ZmXtq9HXKA%2F9qzm3dnr9nOjhsmxeb%2FzxRtDuMuDReWQIfKf%2BPQszuXUXbQMksDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=29030181590&catId=50000248
